hero1,value
ASSAULT/,16
ASTARTE,7
"ASTER, LUCIAN",18
ASTRA,30
ASTRA II,56
ASTROLOGER/,3
ASTRONOMER,36
"ASTROVIK, ARNOLD",25
"ASTROVIK, NORMA",66
ASYLUM II/HENRIQUE M,25
ASYLUM/,25
ATALANTA,111
ATALON,24
ATHENA [GREEK GOD],75
"ATKINSON, MAJ. EDMON",17
ATLAS,57
ATLAS III,8
ATOM SMASHER II/,9
ATOM-SMASHER/,4
"ATOR, GENERAL",48
ATTRACTIVE LAD/AUNDR,11
ATTUMA,256
AUGUST PERSONAGE IN ,60
AUNTIE FREEZE/,10
AURA/ANN HERD,46
AURIC/,124
AURORA DOPPELGANGER,21
AURORA | MUTANT X-VE,13
AURORA/JEANNE-MARIE ,911
"AUSTIN, GEN.",7
"AUSTIN, SUSAN",248
"AUSTIN, TERRY",17
"AUTHIER, POLICE CHIE",54
"AUTHIER, TRACY TRACE",42
AUTHORITY/,18
AUTOLYCUS,11
AVALANCHE/DOMINIC PE,447
AVANDALIA,21
AVATAR,1
AVIA,61
AVIOS,27
AVIUS,13
"AVRIL, SALLY",74
AWESOME ANDROID,22
AXE/,17
AXIS/,12
"AYALA, AWILDA",32
"AYALA, FILIPPO",21
"AYALA, MRS.",15
"AYALA, NESTOR",7
AYESHA,4
AZAZEL,8
AZAZEL II,1
AZIR,19
AZOR,3
AZRAEL,1
AZURE,5
B'ARR,9
"B'KOSA, GEN. JONATHA",17
BAAL,6
BAAL II,3
BACILLUS,18
"BADALAMENTE, JESUS",57
"BADALINO, LT. MICHAE",14
"BAILEY, GAILYN",12
"BAILEY, JOEY",8
"BAILEY, SARA GREY",39
"BAIRD, DR.",12
BAKER,18
"BAKER, ANNE-MARIE",26
BALABAN/,4
BALDER [ASGARDIAN],1301
"BALDWIN, JUSTIN",61
"BALDWIN, MADELYNE MA",157
"BALE, EMERSON",57
"BALLANTINE, DEVON",2
"BALLANTINE, KAYLA",268
"BALLANTINE, MR.",12
BALOR,18
