hero1,value
"CIRE, MANUEL",42
"CISCERNOS, SELENA",1
CITIZEN V II/HELMUT ,501
CITIZEN V III/DALLAS,363
CITIZEN V/JOHN WATKI,31
CITYDWELLER/JERRY | ,13
"CLAREMONT, CHRIS",86
"CLARIS, SVEN",4
CLARITY/,56
"CLARK, JOHN",70
"CLARK, SARAH",95
"CLARKE, GENERAL JERE",157
CLASH/,9
"CLAY, GORDON",14
"CLAYBORNE, REGINA",13
"CLAYTON, KATRINKA JA",5
CLEA,583
CLEARCUT/,3
"CLEARWATER, JUDGE MA",14
"CLEMSON, MIKE",57
CLEOPATRA,9
"CLINTON, BILL",59
"CLINTON, CHELSEA",4
CLOAK/TYRONE JOHNSON,424
"CLOONEY, DR.",8
CLOUD,115
CLOWN/CRAFTY ELIOT F,137
COACH,14
COACHWHIP,77
COAL TIGER/T'CHALLA ,13
COBALT,22
COBALT II,19
COBALT MAN,30
COBRA/KLAUS VORHEES,346
COBWEB,8
COCKROACH/,22
"COCKRUM, DAVE",51
COCO,4
CODY,18
"CODY, GARY",68
"COFFIN, RAY",5
"COFFIN, WARDEN JOHNS",10
"COFFY, DET.",14
COGGER,3
"COHEN, IZZY",17
COIL,21
COLD WARRIOR,5
COLDBLOOD/,23
"COLE, LYNETTE",2
"COLE, PRISCILLA",14
"COLE, WADE",113
COLLECTIVE MAN,126
COLLECTIVE MAN II,1
COLLECTOR/TANELEER T,276
COLLETTE,5
"COLLINS, BRADBURY",6
"COLLINS, DEMITRIUS",124
"COLLINS, EMMA",7
"COLLINS, NICK",45
"COLLINS, TRACY",41
"COLON, CHERYL",47
COLOSSUS,1
COLOSSUS 2013,17
COLOSSUS II DOPPELGA,204
COLOSSUS II | MUTANT,21
COLOSSUS II/PETER RA,3997
COMANCHE,12
COMBAT/,15
COMET MAN/DR. STEPHE,19
COMET/HARRIS MOORE,34
COMMANDER BLAZE,5
COMMANDER COURAGE/,21
COMMANDO/M-NELL,22
COMMCAST/GARABED BAS,17
COMPUTO,5
"CONAN, NEAL",27
"CONCIERGE, LE/",5
CONDOR,32
"CONKLIN, CAPT.",21
"CONNORS, BILLY",75
"CONNORS, MARTHA",91
"CONOVER, ALYSSA",21
"CONOVER, HANNAH",12
"CONOVER, REV. WILLIA",16
"CONOWAY, SEKMEHT",30
CONQUEST/BRIDGET MAL,51
"CONRAD, LUTHER DUTCH",2
CONSTRICTOR/FRANK PA,292
CONSUELA,55
CONSUMPTION,7
CONTEMPLATOR/TATH KI,122
"CONTONI, PAUL",17
"CONTRARES, ANASTASIA",14
CONTROLLER/BASIL SAN,80
CONUNDRUM/,9
"CONWAY, GERRY",9
"COOPER, COLE",39
"COOPER, DR. VALERIE",978
"COOPER, ROGER CAPS",66
"COOPER, TERI",1
"COOPER, WHITNEY III",35
COPPER,22
COPPERHEAD II/,2
COPPERHEAD III/DAVIS,115
COPPERHEAD IV/,3
COPPERHEAD/LAWRENCE ,7
"COPPERSMITH, ALFRED",3
COPYCAT/VANESSA,258
"CORBEAU, DR. PETER",192
"CORD, EDWIN",33
"CORD, JANICE",44
CORDITE,10
"CORDOVA, JUAN",2
"CORNELIUS, DR.",34
CORONA/DAGNY FORREST,2
CORONARY/JIMMY SHARP,42
CORONER,16
"CORRIGAN, ARCHIBALD ",55
CORRUPTOR/JACKSON DA,69
CORSAIR,473
"CORSI, TOM",181
"CORTES, MARIA PILAR",11
"CORTEZ, FABIAN",319
COSMIC MESSIAH,2
COTTONMOUTH,4
COTTONMOUTH II,175
"COUNT NEFARIA, LUCHI",197
COUNTERWEIGHT II/KAT,490
COUNTERWEIGHT/JACK P,409
COURIER/JACOB GAVIN,63
"COURTNEY, DELPHINE",27
"COWAN, EARL",2
"COWEN, BUCK",45
"COWEN, ELAINE",13
"COY, GENERAL NGUYEN ",92
CR'REEE,265
"CRAIG, REV.",27
"CRANDAL, BEN",5
CRANUS,3
"CRAWFORD, GEN.",1
"CRAWLEY, BETRAND",83
CRAZY EIGHT/LESLIE A,6
CREED,3
"CREED, GRAYDON",89
"CREED, GRAYDON | MUT",9
CREEP/,2
CRIME-BUSTER/,9
CRIME-MASTER/NICK LU,3
CRIME-WAVE/HOLLIS,2
CRIMEBUSTER/FRANK MO,29
CRIMEWAVE/,5
CRIMSON,33
CRIMSON COMMANDO/FRA,138
CRIMSON COWL II/,187
CRIMSON CRUSADER/ROR,23
CRIMSON DAFFODIL,7
CRIMSON DYNAMO III/A,47
CRIMSON DYNAMO IV/YU,30
CRIMSON DYNAMO V/DIM,157
CRIMSON DYNAMO VI/VA,24
CRIMSON DYNAMO VIII/,7
CRIMSON DYNAMO/PROF.,8
CRIPPLER/KARL STRIKL,50
CRITIC,13
CRITICAL MASS,6
CRIX,6
"CROIX, ASHLEY",21
"CROMWELL, HAMILTON",8
"CROSS, GENEVIEVE",6
"CROSS, HAROLD",7
"CROSS, JASON",8
"CROSS, STANLEY",24
"CROSS-WALLACE, SIR G",9
CROSS/,26
"CROSSAN, ANNIE",13
CROSSBONES II/,5
CROSSBONES/BROCK BIN,175
CROSSBOW,8
CROSSFIRE,29
CROTUS,13
"CROW, REV. JOSHUA",14
"CROWE, GERONIMO",4
CROWLEY,11
CROWN,10
CRUCIBLE/BYRON CALLE,94
CRULE,43
CRUSADER II/ARTHUR B,7
CRUSADER X/BRIAN BRA,26
CRUSHER II/JUAN APON,3
CRUSHER/EL PROFESSOR,4
CRUSHTACEAN,11
CRUX/CRISTAL LEMIUEX,14
CRYSTAL [INHUMAN],2052
CUDGEL/,11
CUFFS/,20
"CUMMINGS, DIANE",9
CURSED LOTUS,6
"CURSON, LT. TARA",6
"CURZON, DETECTIVE IN",1
"CUSHING, KATE",331
"CUSSLER, PHILLIP",6
"CUSSLER, PHILLIP JR.",11
CUT,53
CUTTER,1
CUTTHROAT/DANIEL LEI,51
CY-PHYRR 4,1
CYANIDE JANE,16
CYBELE [ETERNAL],32
CYBER,60
CYBERMANCER/DR. SUZI,38
CYBERSLIK,12
CYBERTOOTH/YEN HSIEH,19
CYBORG X/,4
CYCLONE,36
CYCLONE II/PIERRE FR,119
CYCLOPS 2013,9
CYCLOPS DOPPELGANGER,102
CYCLOPS II,5
CYCLOPS | MUTANT X-V,13
CYCLOPS/SCOTT SUMMER,4492
CYLLA,1
CYLLA II,24
CYNAS,46
CYPHER/DOUG RAMSEY,690
CYPRESS/,4
CYRA [ASGARDIAN],7
CYTTORAK,7
"D'ALEXIS, AMBER",7
"D'ANGELO, LIEUTENANT",39
"D'AURIA, JACK",29
D'KAY,6
D'KEN [SHI'AR],57
D'SPAYRE,91
D'WON,4
D.K./DAVID KALEN,14
D.O.A.,114
"DA COSTA, EMMANUEL",43
"DABOIA, RUSSELL",2
"DABUTA, NIGEL",2
DADDY LONGLEGS/RAMSE,16
DADDY WRONGLEGS,16
DAGDA,8
DAGGER/TANDY BOWEN,512
DAGGER/TANDY BOWEN |,6
"DAHN, FARNOQ",31
DAI-KUMO,7
"DAKESIAN, NANCI",16
DAKIMH THE ENCHANTER,69
DAKINI,7
"DAKOR, YOGI",8
DAMAGE,3
DAMBALLAH,2
DAMBALLAH II,8
"DAMIAN, DR. DANIEL",45
"DAMIAN, MARGO",166
DAN-FARR,41
DANGOR,20
DANIA,6
"DANIELS, BRIE",9
"DANNING, SHEILA",16
DANSEN MACABRE,104
DANTE,7
"DANTES, DR. EDWINA",3
"DANVERS, JOE",3
"DANVERS, MRS. JOE",11
"DANVILLE, SEN. OWEN",18
DARCO,30
"DARE, JOHNNY",1
"DARE, KATHLEEN",80
"DARE, ROSSALYN",12
DAREDEVIL DOPPELGANG,256
DAREDEVIL | MUTANT X,9
DAREDEVIL/MATT MURDO,2437
DARGIL,17
DARIA,23
DARK,55
DARK BEAST/HENRY MCC,177
DARK COUNSEL/VARTU,32
DARK CRAWLER,25
DARK HUNTER,8
DARK MASTER,25
DARK MOTHER/FINALITY,38
DARK ONE,2
DARK RAIDER,27
DARK WIND/KENJI OYAM,19
DARKHAWK DOPPELGANGE,69
DARKHAWK/CHRIS POWEL,779
DARKOTH/MAJOR DESMON,42
"DARKOVER, PROFESSOR ",4
DARKSTAR/LAYNIA SERG,336
DARLA,94
"DARLEGUNG, GEN.",2
"DARROW, MARISSA II",10
"DAVID, PETER",11
DAVIDOFF,14
"DAVIS, ABBY",6
"DAVIS, PRINCIPAL",2
DAWN,2
"DAWSON, DICTIONARY",11
DAY,13
DAYDREAMER/CATHERINE,51
DAYTRIPPER/AMANDA SE,344
DAZZLER II/ALLISON B,867
DAZZLER/BURTRAM WORT,63
DE LA COURTE,1
"DE LA FONTAINE, CONT",411
"DE LA SALLE, BEATRIC",1
"DE LA SPIROSA, COUNT",9
DEAD HEAD/,11
DEAD RINGER/LOU,12
DEADAIR,12
DEADBOLT,45
DEADEYE/,6
DEADHEAD,17
DEADLY DORIS,10
DEADMAKER/GREGORI AN,6
DEADPOOL/JACK/WADE W,278
"DEAN, BETTY",3
"DEAN, DARBY",48
"DEAN, SUSAN",32
"DEANGELO, DEVLIN",10
DEATH,371
DEATH ADDER,98
DEATH STING/MIRANDA ,5
DEATH'S HEAD,14
DEATH-STALKER,42
DEATHBIRD [SHI'AR],281
DEATHCRY [SHI'AR],148
DEATHLOK II/COL. JOH,22
DEATHLOK III DOPPELG,2
DEATHLOK III/MICHAEL,181
DEATHLOK IV,14
DEATHLOK | MUTANT X-,27
DEATHLOK/COLONEL LUT,49
DEATHRAVEN/JOSHUA RA,6
DEATHSHIELD/,8
DEATHSTROKE/,11
DEATHTOLL,3
DEATHUNT 9000,32
DEATHURGE,95
DEATHWATCH/STEPHAN L,58
DECAY II/YOSHIRO HAC,46
DECAY/,80
DECIBEL,13
DEFENSOR,54
"DEGANN, KRIS",7
DEIMOS,5
"DEKKER, GENERAL LYLE",8
"DEL HIERRO, BLANCA",7
"DELACORTE, ARTHUR",24
"DELANY, CAPT.",13
"DELAZNY, CHARLES L.",7
"DELAZNY, DORIAN",18
DELGADO,14
"DELGADO, FATHER",81
"DELGADO, LUZ",6
"DELGADO, RUFUS",22
DELILAH,105
DELPHI,83
DELPHI II,4
"DELPHIS, SIR",78
DELPHOS,23
DELUGE,1
DELUGE II,15
DEMEITYR,5
DEMI-GOD,1
DEMOGOBLIN,47
DEMOLITION MAN DOPPE,15
DEMOLITION MAN/DENNI,204
DEMON BEAR,24
DEMONICUS/DR. DOUGLA,61
DEMONSTAFF,2
DENAK,9
"DENNAGER, MICHAEL",3
"DENNEHY, ROBERT",6
"DENNIS, MARTY",15
"DEPALMA, MR.",7
"DEPAUL, SHIELD SPECI",10
DESADIA,2
DESAK/DESAK STERIXIA,7
DESIGNATE/TARENE,70
"DESTINE, ADAM",14
"DESTINE, NEWTON",17
DESTINY II/IRENE ADL,311
DESTINY/PAUL DESTINE,2
DESTRAK,29
DESTROYER III,194
DESTRUCTOR/PROFESSOR,27
DETHSTRYK,1
DEUCE,42
"DEUTSCH, GEN.",5
DEVASTATOR II/GREGOR,11
DEVASTATOR/KIROV PET,2
"DEVERAUX, INSPECTOR ",7
"DEVEREAUX, IRIS",9
"DEVEREAUX, MICHELLE",12
DEVIL DINOSAUR,44
DEVIL DINOSAUR | MUT,13
DEVIL-SLAYER/ERIC SI,184
"DEVILLE, ARCADIA",37
"DEVINE, ANTON",9
DEVLOR,128
"DEVOOR, ALBERT",10
DEVOS THE DEVESTATOR,77
DEVOURER,13
"DEWITT, KEARSON",30
"DEWITT, LUCIUS",8
"DEWOLFF, JEAN",123
DEX,11
DEXAM,27
"DEZOAN, JOHN",4
DHEREK,3
DIABLO/ESTEBAN DE AB,185
DIAMOND LIL/LILLIAN ,277
"DIAMOND, BOB",126
"DIAMOND, CHUCKY",4
"DIAMOND, KATHY",1
DIAMONDBACK,6
DIAMONDBACK II/RACHE,504
"DIAMONDE, YVETTE",13
DIAMONDHEAD/DYKER,104
"DIBBS, LIONEL",9
DIBDEB,15
DICE/ROB FORTUNE,8
DIE'ODE/,1
"DIEGO, MANUEL",6
"DIETZ, SUSAN",1
DIGGER,57
DIGGER II/,13
"DILLON, ANITA",12
"DILLON, BERNIE",63
"DILLON, JONATHAN",15
DINAH-SOAR,83
DINU,64
DIONYSUS [GREEK GOD],53
"DIPALMA, JOHNNY",8
DIRECTOR X,12
DIRGE/,4
"DIRKSON, GUS",6
DIRT NAP,57
DIRTY WOLFF,5
DISCUS,59
DISPROSIUM,7
DIVINITY,25
"DIXON, GENERAL",11
DIZZIE,6
DMITRI,16
DOC,10
DOC SAMSON | MUTANT ,9
DOC SAMSON/DR. LEONA,616
"DOCKERY, RUPERT",10
DOCTOR DREDD,10
DOCTOR MANDIBUS,7
"DOCTOR, DR. JOSHUA",6
DOGGEREL,2
"DOLAN, CAPT. THOMAS",28
"DOLAN, STACY",85
DOLLAR BILL,88
DOLMAN,22
DOMINA,61
DOMINEX,10
DOMINO,7
DOMINO II,1
DOMINO III/BEATRICE/,583
DOMINUS,5
DOMINUS II,10
DOMO,78
"DON, GAI NO",1
"DONALDSON, LINDA",23
DONAR,6
"DONLEAVY, HANNAH",23
"DONNELY, VICTORIA TO",25
"DONOHUE, TREVOR",10
DONYELL,14
DOOMSDAY MAN,33
DOOMSDAY MAN II,2
DOOP,18
DOORMAN,133
DOPPELGANGER,66
"DORCAS, LEMUEL DR.",23
DORMA II [ATLANTEAN],24
DORMA [ATLANTEAN],168
DORMAMMU,278
"DORNOVA-BLONSKY, NAD",22
DORREK II,1
DORREK [SKRULL],74
DOUGHBOY,6
DOUGLOCK 2013,4
"DOVER, DONNA-LEE",25
DOVINIA,2
DR. ANGST/FLOYD MANG,15
DR. BONG,13
DR. DECIBEL/ANTON DE,52
DR. DOOM CLONE/VICTO,18
DR. DOOM DOPPELGANGE,17
DR. DOOM | MUTANT X-,57
DR. DOOM | TIMESLIDE,11
DR. DOOM/VICTOR VON ,1606
DR. DRUID/ANTHONY LU,767
DR. FAUSTUS,30
DR. GOODWRENCH,3
DR. HYDRO,5
DR. MIDAS/,7
DR. MIME,5
DR. NEMESIS/DR. STOC,3
DR. OCTOPUS II/CAROL,104
DR. OCTOPUS | MUTANT,33
DR. OCTOPUS/OTTO OCT,610
DR. PHOBOS,15
DR. POWER/DR. MAXIMU,4
DR. SPECTRUM II/DR. ,62
DR. SPECTRUM III/REV,13
DR. SPECTRUM/JOSEPH ,352
DR. STRANGE DOPPELGA,17
DR. STRANGE | MUTANT,18
DR. STRANGE/STEPHEN ,2915
DR. STRANGER YET,6
DR. SUN,42
DR. SYNNE,12
DR. VAULT,23
DR. VOLKH/VLADIMIR O,22
DRACCHISS,1
DRACULA | MUTANT X-V,63
DRACULA/VLAD TEPES,221
"DRAGO, VALERIE",2
DRAGON MAN,143
DRAGON OF THE MOON,3
"DRAGONBLOOD, ULYSSES",47
DRAGONESS,53
DRAGONFIST,12
DRAGONFLY II/MEIKO Y,26
DRAGONFLY/VERONICA D,157
DRAGONHEAD,5
"DRAGONMEGAS, JESSIE",5
DRAGONUS,3
DRAGONWING/,26
"DRAKE, CARLTON",38
"DRAKE, FRANKLIN",128
"DRAKE, MADELINE BEAT",31
"DRAKE, WILLIAM ROBER",55
"DRAN, DAMON",19
DRAX DOPPELGANGER,53
DRAX | MUTANT X-VERS,1
DRAX/ARTHUR DOUGLAS,767
DREADFACE,11
DREADKNIGHT/BRAM VEL,49
DREADNAUGHT,5
DREAM QUEEN,12
DREAMGUARD/DEPUTY WI,5
DREAMING CELESTIAL/T,20
"DREYFUSS, RACHEL",68
"DRISCOLL, MAYOR",9
DROMEDAN,18
DRUID/DREDMUND CROMW,48
DRUIG,20
"DRUMM, COLLETTE",2
"DRUMM, JERICHO",96
DRY,15
"DUBOIS, DR. CLAUDIA",15
"DUBOIS, HERVE",11
"DUBOIS, NOAH",14
DUCHARME,4
"DUCRESTE, ABRIAN",2
"DUFFY, SGT. MIKE",1
"DUGAN, DUM DUM | MUT",19
"DUGAN, TIMOTHY ALOYI",843
DULB,19
"DUNCAN, FRED",17
"DUNER, MAJOR",5
"DUNHAM, LAURA",47
"DUNLEAVY, GEN. ARLEN",4
"DURAN, CONAL",7
DUSK,1
DUSK III,6
"DUVALL, SNAKY",2
DWELLER IN DARKNESS,30
"DWORMAN, JIM",25
"DWYER, MARISSA",10
DYNA-MITE/ROGER AUBR,132
"EARLE, CARYN",3
EARTH-LORD/KYLE BROC,3
EARTHQUAKE,109
EBONY,202
ECCE [WATCHER],5
ECHO/MAYA LOPEZ,13
ECLECTA/,5
ECLIPTIC,13
ECSTACY/MME. RENE DE,25
EDDA,28
"EDGERTON, GAYLE",48
"EDGERTON, MR.",22
"EDWARDS, MARTIN/DR. ",42
EEL II/EDWARD LAVELL,117
EEL III,5
EEL/LEOPOLD STRYKE,112
EELAK,75
EENY,154
EFFIGY/LT. VELMAX/JA,83
EGGHEAD/PROF. ELIHAS,92
EGMA,22
EGO,91
EGO-PRIME,53
EIGHTBALL,52
EILIF DRAGONSLAYER,2
EITRI,125
EJULP,12
EKAK,7
EL AGUILA,24
EL CONQUISTADOR,15
"EL GIBAR, ACHMED",17
EL JAGUAR,21
EL TIGRE,13
EL TORO NEGRO/SERGIO,16
EL TORO ROJO,3
EL UNO,6
EL VAMPIRO,2
ELAMRON,5
ELATHAN,11
ELEC'TRIX/,9
ELECTRA,3
ELECTRO/MAX DILLON,330
ELECTRON,85
ELECTRYON,11
ELEJEA,12
ELEKTRA | MUTANT X-V,164
ELEKTRA/ELEKTRA NATC,92
ELITE/,24
"ELLENTHORPE, MARIAH",12
"ELLINGTON, DR./TRAVI",2
"ELLIS, KEN",163
ELO,9
ELSIE DEE,83
ELWOOD,20
ELYSIA,14
ELYSIUS,145
EMBER,33
EMPATH/MANUEL ALFONS,157
EMPLATE/MARIUS ST. C,152
EMPRESS R'KILL [SKRU,38
EMPRESS S'BYLL [SKRU,54
ENCHANTER,1
ENCHANTRESS/AMORA/HE,819
"ENDO, DR. SUZI",38
ENFORCER/DELAZNY,32
"ENGLEHART, STEVE",11
ENRAGED,26
ENRAKT,53
ENT,10
ENTITY,16
ENTITY II,1
EON,123
EPHESUS,7
EPOCH,136
"EPSTEIN, MORRIS",7
"EPSTEIN, MRS.",8
"EPSTEIN, PROF. NORA",8
"EPURER, GISCARD",5
EQUILIBRIUS,39
EQUINOX/TERRY SORENS,8
ERBIUM,22
ERG,96
ERIC THE RED II,13
ERIC THE RED [SHI'AR,86
ERISHKIGEL,3
ERISHKIGEL II/HOLLY ,94
EROS,18
"ERWIN, CLYTEMNESTRA",78
"ERWIN, MORLEY",104
ESON II,22
ESON [CELESTIAL],74
"ESSEX, REBECCA",12
"ESTAVES, DR. ROSA",14
"ESTAVES, MARIE",13
ETERNAL BRAIN/PROFES,41
ETERNITY/ADAM QADMON,392
ETUBAN,16
"ETZION, GENERAL",5
EUROPIUM,31
"EVANS, DORIS",51
"EVE 3,031",28
EVER,29
"EVERETT, BILL",28
EVERWRAITH/,14
EVERY-MAN,26
EVILHAWK/DARGIN BOKK,15
EXALT,4
EXALTED ONE,5
EXECUTIONER,2
EXECUTIONER II/SKURG,324
EXECUTIONER III/BRUT,17
EXECUTIONER IV,4
EXECUTIONER V,4
"EXETER, LT.",15
EXILE,2
EXITAR,1
EXODUS/BENNET DUPARI,220
EXPEDITER II/ZOE CUL,84
EXPEDITER/JOHN WRAIT,23
FACADE,21
FACE/COL. EISEN,1
FAGIN,8
FAHE,1
"FAIRMONT, AMANDA MAN",42
"FAIRMONT, HANNAH",188
FAITH,18
FALCON/SAM WILSON,1354
FALCONA [INHUMAN],48
"FALCONER, CALVIN",33
"FALK, DR. JENNIE",11
FALLEN | MUTANT X-VE,110
"FALLON, HOWARD",17
"FALLON, MEG",14
"FALLON, RIGBY",23
"FALSWORTH, KENNETH",2
FALZON,65
FAMINE | MUTANT X-VE,20
FAMINE/AUTUMN ROLFSO,176
FANCY DAN,34
FANDRAL [ASGARDIAN],1316
FANDRAL | MUTANT X-V,46
FANG,1
FANG II,54
FANG III,14
FANTASIA,20
FANTASMA,64
FARAHD,8
"FARGO, FLAGG",3
"FARREL, MIKE",63
FATALE/PAMELA GREENW,50
"FATE, IAN",8
FATH,44
FATHER TIME,13
FAWKES,38
"FAWN, FELICIA",28
FAYRELYTE STRONGHEAR,41
FAZE,4
FEAR EATER/KKALLAKKU,28
"FEIFFER, DEPUTY BEAU",17
"FENSTER, RICHARD",32
"FENTON, BARNEY",5
FENWAY,8
FER DE LANCE/TERESA,124
FERA,20
FERAL/MARIA CALLASAN,399
"FERGUSON, ISABEL",17
FEROCIA/,24
FERON,52
"FERRARI, CONNIE",59
FERRIS,54
FERRO2,148
FEUER,11
FEVER PITCH/,17
"FIDDLER, BARNEY",4
FIELDER,7
"FIELDING, CLARENCE",23
"FIELDS, MARJORIE",1
"FIELDS, PROF. WILLIA",12
"FIELDS, TODD",2
"FIELDS, TRACI",14
FIELDSTONE/,22
"FIELSTEIN, FIREWORKS",126
FIFOLET,39
"FILLMORE, BETTY",3
"FILLMORE, GARRET",4
"FILLMORE, SHERIFF DO",12
FIM,8
FIN FANG FOOM | MUTA,5
FIN FANG FOOM/MIDGAR,70
FIN/PETER NOBLE,10
FIRE EATER/TOMAS,36
FIREARM/,32
FIREBALLS/JACK FARLE,25
FIREBIRD/BONITA JUAR,315
FIREBOLT,1
FIREBRAND II/BROXTEL,28
FIREBRAND III/RICHAR,13
FIREBRAND/GARY GILBE,51
FIREBUG/,62
FIREFALL II,31
FIREFALL III/ARCHIE ,10
FIREFALL IV/TARN,44
FIREFALL/KARAS,7
FIREFIGHT/,20
FIREFIST II/,7
FIREFIST/RUSTY COLLI,471
FIREFLY,15
FIREFLY II,1
FIRELORD/PYREUS KRIL,295
FIRESTAR DOPPELGANGE,18
FIRESTAR | MUTANT X-,11
FIRESTAR/ANGELICA JO,1391
FIRESTRIKE/DALTON BE,20
FIREWALL/THEARY/MIN ,106
"FISHER, PROF. FRANCE",5
"FISHMAN, DR. JONATHA",1
"FISK, VANESSA",82
FIST/,13
FITCH/,18
"FITZGERALD, KENNY",8
"FITZGERALD, MOLLY",7
"FITZPATRICK, WILL",11
"FITZROY, TREVOR",64
FIXER II/PAUL NORBER,459
FIXER/SWEENEY,8
FIXX,36
FIZ [SKRULL],210
FIZGIG/,32
FLAG-SMASHER,44
FLAME,9
FLAME II,2
FLARE/,4
FLASH/BARRY ALLEN/BU,2
FLATIRON/RUSSELL,13
FLATMAN,98
"FLEET, TAMARA",2
"FLEMING, PHILIP",3
FLEX/ADRIAN CORBO,162
FLINCH/,13
"FLINN, LANCELOT LANC",1
"FLINT, LT.",10
FLO,12
"FLORES, DAHLIA",7
"FLORES, JAMIE",78
"FLORES, SHANICE",5
"FLORESCU, ANTON",4
FLUFFY,7
FLUX/PRIVATE BENNY T,2
FLY,44
FLYING DUTCHMAN,26
FLYING FOX,7
FLYING TIGER,147
FLYNN,1
"FOGELSTROM, HIRAM",1
"FOGG, ARCHIMEDES ARC",2
FOGG/THOMAS FOGG,19
FOLD,18
"FONDOZZI, MICKEY",36
"FONG, DR. CHARLES WA",32
"FONG, LI",4
"FONTAINE, CINDER",21
FONTANELLE/GLORIA DA,72
"FONTREAUX, GUY",9
FOOL,66
FOOLKILLER II/GREG S,45
FOOLKILLER III/KURT ,10
FOOLKILLER/ROSS EVER,3
FORCE/CLAYTON WILSON,26
FORD,21
"FORD, GERALD",3
FOREARM,149
FOREIGNER/RAFAEL BAS,156
FORGE,934
FORGE | EARTH 998,3
FORGE | MUTANT X-VER,30
FORGOTTEN ONE/GILGAM,295
FOROPULIST,6
"FORRESTER, CAPT. ALE",150
"FORRESTER, DR. CEDRI",12
"FORTHWARD, KENT",8
FORTUNATO,78
"FORTUNATO, GIACOMO J",86
"FORTUNATO, JAMES",7
"FORTUNATO, MARY",5
FORTUNE,2
"FORTUNE, DOMINIC",14
FOUNDRY,19
"FOWLER, RED",1
"FOX, PHIL",3
FOXBAT,136
FOXFIRE/OLIVIA UNDER,75
FRANKENSTEIN MONSTER,36
"FRANKENSTEIN, BASIL",3
FRANKENSURFER/BORGO,5
"FRANKLIN, JEREMY",15
"FRASER, DET. KATE",4
FREAK QUINCY,3
FREDD,12
"FREDERICKS, GENERAL",27
"FREDERICKSON, KOLINA",8
FREE SPIRIT/CATHY WE,79
"FREEMAN, DEREK",48
"FREEMAN, DUANE JEROM",123
FRENCHIE/JEAN-PAUL D,198
FRIDAY,78
"FRIEDLANDER, SHARON",131
FRIGGA,358
FROG MAN/FROG LE BLA,56
FROG-MAN II/EUGENE P,22
FROH,11
FROST,12
"FROST, ADRIENNE",102
"FROST, BYRON",17
"FROST, CARMILLA",64
"FROST, CORDELIA",39
"FROST, DEACON",6
FROSTBITE/DR. SLOANE,1
FU MANCHU,98
FU'SE,20
"FUANARO, RENEE",27
"FUJIKAWA, RUMIKO",103
"FUNARO, DONNA",18
FURGAR,72
"FURMAN, RICHARD",12
"FURMINTZ, HARMON",14
"FURY, COL. NICHOLAS ",2003
"FURY, DAWN",9
"FURY, NICK II",4
"FURY, NICK L.M.D.",13
"FURY, NICK | MUTANT ",36
FUSION/MARKLEY,6
FUTURIST,11
G'ANYM,17
G'RATH,5
GAARD/JOHNNY STORM E,14
GAARK,14
GABRIEL III,8
GADFLY/RUTH MACRAE,10
GADRIEL,16
GAEA,107
GAFF/SIDNEY E. LEVIN,97
GAIA,127
GALACTUS/GALAN,1075
GALADRIEL,16
"GALANNAN, BILL",8
GALEN,12
"GALEN KOR, ADMIRAL [",14
"GALLAGHER, BOB",8
GALTUS,2
"GALVIN, TOMMY",5
GAMBIT DOPPELGANGER,152
GAMBIT DOPPELGANGER ,1
GAMBIT | MUTANT X-VE,86
GAMBIT/REMY LEBEAU ,1671
"GAMBLE, GRACIE",18
"GAMBONNO, ERNESTO",140
"GAMBONNO, LUIGI",163
GAMECOCK/,20
"GAMELIN, JOHN T J.T.",6
GAMESMASTER/JEREMY,28
GAMMA-BURN/,2
GAMMENON [CELESTIAL],125
GAMORA,383
"GANCE, TABITHA TABBY",3
"GANGER, CARMEN",5
"GANGER, DR. ALEXEI",17
"GANNON, RICH",6
"GANNON, SGT. FRANK",1
GANTRY,17
GANYMEDE,2
"GAPON, DZHOKHAR",11
GAR-TOOM,4
GARABALDI,14
GARABED/BASHUR,4
"GARCIA, REV.",14
GARDENER/ORD ZYONYZ ,70
"GARFIELD, MURRAY",12
GARGOUILLE/,37
GARGOYLE II/ISAAC CH,589
GARGOYLE | MUTANT X-,39
GARGOYLE/IGOR DRENKO,3
GARM,2
GARNOK REBBAHN,1
GAROKK,40
GAROTTE/,23
"GARRETT, JOHN",7
"GARRISON, DR.",8
GARTH,12
"GARTH, DONNA",14
GARTHAN SAAL,37
"GARVIN, GEARS",40
GATECRASHER,48
"GATES, JUNIOR",11
GATEWAY,294
"GATOR, LORD",166
GATTLING/,12
"GATZ, WILLIAM BILLY",6
"GAULTHING, ANDERSON",12
GAUNT II,25
"GAUNT, OFFICER KIM",17
GAUNT/MENDEL STROMM,63
GAUNTLET,190
GAZA,80
GAZELLE,37
GEATAR,29
"GEDDINGS, JUDITH GHO",1
GEE/ALEX POWER,604
"GEESEY, KARL",4
GEIGER/DELILAH DEEDE,7
GEIRRODUR,31
GEIST,3
"GELLER, URI",3
GEMINI/JOSHUA LINK,59
GENECIDE,23
GENERAL ADMISSION,24
GENERAL OBSIDIAN,69
GENESIS/TYLER DAYSPR,47
GENII/JASON KIMBALL,45
GENTRY,60
"GENUARDI, MR.",7
"GEORGE, DAVID LLOYD",7
"GERARD, TERENCE",9
"GERASI, DON MARIO",31
"GERASI, JOEY",18
"GERASI, LESLIE",17
"GERASI, MARY ROSE",13
"GERHARDT, JOSEPH HEI",19
